,,,,,,
UK Civil Protection Lexicon,,,,,,
Version 2.1.1 (February 2013),,,,,,
Explanatory Notes and Version History appear in separate sheets,,,,,,
"For further information, related documents and the current version go to: ",,,,,,
www.cabinetoffice.gov.uk/cplexicon,,,,,,
Primary Term,Abbreviation or acronym,Included / Revised in  Ver. ,Source,Definition                                                                                        (text in bold indicates a related defintion in the Lexicon),Notes on definition,Geography or jurisdiction to which the term is restricted
Response Co-ordinating Group,ResCG,2.1,CCS,"A Multi-SCG  Co-ordinating Group which may be convened where the local response has been, or may be, overwhelmed and wider support is required, or where an emergency affects a number of neighbouring Strategic Co-ordinating Groups and would benefit from co-ordination (e.g. to obtain a consistent, structured approach) or enhanced support. ",,
Response phase,,2.0,CCS,Phase in which decision making and actions are focused on response to an actual emergency or disaster,,
Rest Centre,RC,2.0,CCS,"Building, which could include overnight facilities, designated by the local authority for the temporary accommodation of evacuees ",,
Rising tide emergency,,2.0,CCS,"Event or a situation that develops into an emergency or major incident over a period of days, weeks or even months (such as health pandemic, flooding, industrial action), the final impact of which may not be apparent early on (in contrast to rapid onset emergency).",,
Risk, ,1.0,CCS,Measure of the significance of a potential emergency in terms of its assessed likelihood and impact,,
Risk appetite,,1.0,CCS,Willingness of an organisation to accept a defined level of risk,,
Risk assessment,,2.0,CCS,"A structured and auditable process of identifying potentially significant events, assessing their likelihood and impacts, and then combining these to provide an overall assessment of risk, as a basis for further decisions and action. ",,
Risk control,,1.0,CCS,"Measures to reduce the likelihood of an emergency occurring from a given risk, and/or implement measures to mitigate the impacts of that emergency should arise",,
Risk management,,1.0,CCS,All activities and structures directed towards the effective assessment and management of risks and their potential adverse impacts.,,
Risk priority,,1.0,CCS,"The relative importance of the treatment(s) required for the management of the risk, based on the risk rating and the additional capabilities required to manage risk. ",,
Risk rating matrix,,1.0,CCS,"Table showing the likelihood and potential impact of events or situations, in order to ascertain the risk",,
Risk treatment,,1.0,CCS,Process of determining those risks that should be controlled (by reducing their likelihood and/or putting impact mitigation measures in place) and those that will be tolerated at their currently assessed level.,,
Royal Engineer Search Advisor,RESA,2.1,MOD,Officer or SNCO who commands a REST,Note: included for Acronym,
Royal Engineer Search Team,REST,2.1,MOD,,Note: included for Acronym,
Royal Logistic Corps,RLC,2.1,MOD,,Note: included for Acronym,
Royal Marines,RM,2.1,MOD,,Note: included for Acronym,
Royal Navy,RN,2.1,MOD,,Note: included for Acronym,
Safety Advisory Group,SAG,2.0,DCMS,"Multi-agency group set up to provide advice on safety matters for a specific event, or events, such as a major sporting event or a concert held in a stadium. ",,
Salvage Control Unit,SCU,1.0,MCA,Body established by the Secretary of State’s Representative in marine salvage incidents in order to provide support for any action related to vessel(s) that is necessary to save life and protect the environment,,
Scene, ,1.0,CCS,Point or area of the immediate impact of an incident or emergency,,
Scene Access Control Point,SACP,1.0,CCS,Controlled point through which essential personnel may gain access through the inner cordon,,
Science and Technical Advice Cell,STAC,1.0,CCS,Group of technical experts from those agencies involved in an emergency response that may provide scientific and technical advice to the Strategic Co-ordinating Group chair or single service gold commander,, 
Scientific Advisory Group for Emergencies,SAGE,1.0,CCS,Group of scientific and technical experts that is established to provide a common source of advice to inform decisions made during the central government response to an emergency.,,
Scottish Government Resilience Development Service,ScoRDS,2.1,CCS,"A Scottish Government service that supports the resilience community by providing learning and development to enhance the knowledge, skills and behviours required for effective multi agency emergency planning, response and recovery",Website at: www.scords.gov.uk ,Scotland
Scottish Government Liaison Officer ,SGLO,1.0,SG,Scottish equivalent of the Government Liaison Officer,,Scotland
Scottish Government Resilience Room ,SGoRR,1.0,SG,"A coordination facility of the Scottish Government that is activated in cases of national emergency or crisis, or during international events with major implications for Scotland",,Scotland
Search and Rescue ,SAR,2.0,CCS,Use of specialised personnel and equipment to locate persons in distress or in danger and remove them from a place of actual or potential danger to a place of relative safety,,
Search and Rescue Dog Association,SARDA,2.1,,Registered charity which oversees the training of dogs used by the various search & rescue capabilities,,
Search and Rescue Mission Co-ordinator,SMC,2.0,MCA,Maritime and Coastguard Agency officer assigned to co-ordinate the response to an actual or apparent maritime incident  ,,
Secondary device,,2.0,MOD,Explosive or contaminating device designed to harm responders to an incident  ,,
Secretary of State’s Representative,SOSREP,1.0,MCA,"On behalf of the secretary of state for the department of Transport SOSREP is tasked to oversee, control and if necessary intervene and exercise ultimate command and control, acting in the overriding interest of the United Kingdom in salvage operations within UK waters involving vessels or fixed platforms where there is significant risk of pollution.",,
Sector,,1.0,CCS,"An area of responsibility at an incident. These should be created to manage spans of control and provide tighter supervision of operations.  Operational sectors are those dealing directly with the incident, and support sectors are usually defined by the function they undertake  ",,
Sector commander,,1.0,CCS,An emergency services officer commanding a sector who is tasked with the responsibility for tactical and safety management of a clearly identified part of an incident  ,,
Secret Intelligence Service,SIS,2.1,OSCT,,Note: included for Acronym,
Security Cleared,SC,2.1,MPS,,Note: included for Acronym,
Senior Identification Manager ,SIM,1.0,CCS,Police officer appointed by the senior police officer to manage and co-ordinate all aspects concerning the identification of the deceased in support of HM Coroner or (in Scotland) the procurator fiscal  ,,
Senior Investigating Officer,SIO,1.0,CCS,Detective officer appointed to assume responsibility for all aspects of a police investigation,,
Senior Responsible Owner,SRO,2.1,DfT,,Note: included for Acronym,
Sensitive information,,2.0,CCS,"Information  which, if disclosed to the public would, or would be likely to (a) adversely affect national security, (b) adversely affect public safety, (c) prejudice the commercial interests of any person; or is information that is personal data, within the meaning of section 1(1) of the Data Protection Act 1998, disclosure of which would breach that Act. ",,
Serious emergency , ,1.0,CCS,"Second highest level of emergency (Level 2), requiring central government direction. See also catastrophic emergency (Level 3); significant emergency (Level 1)  ",Note: defined by Cabinet Office (2010) Central Government Arrangements for Responding to an Emergency,
Shelter,,2.0,NEPLG,"Countermeasure advice for the public to ‘Go in, stay in and tune in’. Includes closing windows and doors to minimise the ingress of hazardous materials.","Note: for generating nuclear sites, sheltering may also require the taking of stable iodine tablets. 
",
Shoreline Response Centre,SRC,1.0,MCA,A single co-ordination centre established by the local authority most affected by a marine pollution incident and supported by the Maritime and Coastguard Agency,,
Significant emergency ,,1.0,CCS,"Lowest level of emergency (Level 1), requiring central government support through a nominated lead government department. See also catastrophic emergency (Level 3); serious emergency (Level 2)  ",Note: defined by Cabinet Office (2010) Central Government Arrangements for Responding to an Emergency,
Silver,,1.0,CCS,The tactical tier of command and control within a single agency (below Gold level and above Bronze level) at which the response to an emergency is managed,Note: multi-agency co-ordination at the tactical level is undertaken by the Tactical Co-ordinating Group.,
Single Point of Contact,SPOC,2.1,HMRC,,Note: included for Acronym,
Site, ,1.0,CCS,1. (general) location or specified area,,
,,,,2. (specific) point or area of the immediate impact of an incident or emergency ,,
Site Clearance Plan,,2.0,CCS,Plan for the removal of debris from a site,,
Site Incident Officer,SiteIO,1.0,CCS,"Representative from the affected organisation, when an incident occurs within the perimeter of an industrial or commercial establishment, public venue, airport or harbour, to liaise with the emergency management structures",,
Situational Awareness,SA,2.1,CCS,"The state of individual and/or collective knowledge relating to past and current  events, their implications and potential future developments.","Note: the process of building situational awareness involves perception, comprehension, evaluation and future projection; achieving a common position within groups necessitates transparency around, for example, the concepts, assumptions, language and frameworks used to build individual situational awareness.",
Situation Cell,SitCell,2.1,CCS,,Note: included for Acronym,
Situation Report ,SitRep,1.0,CCS,"Report produced by an officer or body, outlining the current state and potential development of an incident and the response to it",,
Small scale evacuation ,,2.0,CCS,"Evacuation of up to 1,000 people from a place of danger to a place of relative safety  ","See also Medium scale evacuation, Mass evacuation and Large scale evacuation",
Small or medium-sized enterprise ,SME,2.0,CCS,A business with less than 250 employees. ,,
Specific (emergency) plan, ,2.0,CCS,Plan by one or more category 1 responder(s) that relates to a particular risk not adequately addressed by a generic emergency plan,,
Spontaneous incident ,SOP,2.0,CCS,"Incident in relation to which the police have not had prior warning or notification to develop strategies, tactics and contingency plans (in contrast to pre-planned incident)  ",,
Stable Iodine (Potassium Iodate tablets),KI03,2.0,NEPLG,"A stable form of iodine, which can bind to and protect the thyroid gland, preventing uptake of radioactive iodine by the gland and the increased likelihood of thyroid cancer in the future.",,
STARTEX,,2.0,NEPLG,Start of Exercise,,
Standing Joint Command (UK),SJC(UK),2.1,MOD,,Note: included for Acronym,
Statutory ,,2.0,CCS,Prescribed in legislation,,
Statutory agency (or body or authority),,1.0,CCS,"Agency, service or organisation whose establishment, constitution and functions are laid down in legislation  ",,
Statutory guidance,,1.0,CCS,Advice provided by or to an authority under statutory powers concerning the implementation of or compliance with a specific law  ,,
Statutory responder,,1.0,CCS,Any responder listed in schedule 1 to the civil contingencies act ,,
Statutory sector,,1.0,CCS,"All statutory services, regarded as a group",,
Statutory service,,1.0,CCS,Service provided by an agency whose responsibilities are laid down in law,,
Steady-state ,,2.0,NPIA,Routine activities engaged in and managed by the police as part of everyday responsibilities  ,,
Safety triggers for emergency personnel,STEP 123,2.1,,,Note: included for Acronym,
Strategic,,1.0,CCS,"The level (above tactical level and operational level) at which policy, strategy and the overall response framework are established and managed.",,
Strategic command(er),,1.0,CCS,See strategic,,
Strategic Co-ordinating Group,SCG,1.0,CCS,Multi-agency body responsible for co-ordinating the joint response to an emergency at the local strategic level,Note: the SCG may also be known as the Gold Group.,England and Wales
Strategic Co-ordinating Group,SCG,1.0,SG,In Scotland Strategic Co-ordinating Groups are the principal local forum for multi-agency cooperation in civil protection. The groups have a role in both preparation and response to emergencies. ,Note: SCGs in Scotland effectively combine the role in England of Local Resilience Fora in preparing for emergencies and of Strategic Co-ordinating Groups in responding to emergencies.,Scotland
Strategic Co-ordination Centre,SCC,1.0,CCS,The location at which the Strategic Co-ordinating Group meets,Note: for civil nuclear emergencies it may also be referred to as the Off-Site Facility,
Strategic Holding Area,SHA,2.0,CCS,A pre-defined location providing sufficient space and facilities for the reception and co-ordination of mutual aid and other supporting resources at major incidents.,Note: SHAs should provide an area where resources can standby or rest whilst awaiting deployment to an incident.,
Strategic level,,1.0,CCS,See strategic,,
Strategic Media Advisory Cell,SMAC,2.0,NEPLG,"Multi-agency group set up within the Strategic Co-ordination Centre to ensure consistent communication is delivered by all agencies. Brings together media representatives of the key organisations involved in the response to the emergency and liaises with the main incident press office. Led by the Police Strategic Media Advisor during the acute phase, and the Local Authority Press Officer in the recovery phase.",,
Stress ,,2.0,BRC,"State of cognitive, emotional and physical arousal caused by exposure to some actual or perceived demand or stimulus in the environment",,
Subject Matter Expert,SME,2.1,MPS,,Note: included for the acronym,
Subsidiarity,,1.0,CCS,"The principle by which decisions should be taken at the lowest appropriate level, with co-ordination at the highest necessary level",,
Sudden impact emergency,,1.0,ERR,See under emergency,,
Supervising Pathologist  ,,2.0,CCS,Pathologist appointed by the Coroner to act in a supervisory capacity where two or more pathologists are working,,
Support groups,,2.0,CCS,Mutual assistance grouping of people affected by an emergency ,,
Supporting Organisation ,,2.0,CCS,(Local authority guidance term for) Organisation supplying resources under the terms of a mutual aid agreement  ,,
Survivor,,1.0,CCS,"Any person, whether injured or not, who is not killed in an incident or emergency",,
Survivor / Evacuee Form,,2.0,CCS,Casualty bureau form used to record information about uninjured survivors and evacuees,,
Survivor Reception Centre,SuRC,1.0,CCS,Assistance centre in which survivors not requiring acute hospital treatment can be taken for short-term shelter and first aid,,
Table Top Exercise,TTX,2.1,CCS,,Note: included for the acronym,
Tactical,,1.0,CCS,Level (below strategic level and above operational level) at which the response to an emergency is managed ,1 The terms tactical and Silver are frequently used interchangeably for single agency operations. Tactical and operational are inverted in military usage,
,,,,,,
,,,,,,
Tactical command,,1.0,CCS,See tactical,,
Tactical co-ordinating group,TCG,1.0,CCS,"A multi-agency group of tactical commanders that meets to determine, co-ordinate and deliver the tactical response to an emergency. ",Note: the TCG may also be known as the Silver Group.,
Tactical level,,1.0,CCS,See tactical,,
Talk through , ,2.0,CCS,See Walk through,,
Technical Advisory Group,,1.0,CCS,See Northern Ireland Technical Advisory Group,,Northern Ireland
Technical Co-ordination Centre,TCC,2.0,NEPLG,"A response centre whose role is to provide technical and scientific advice to support the response to an overseas nuclear accident. Normally chaired by DECC but this role can be delegated if appropriate, depending on the issues to be discussed.",,
Telemetry,,2.0,CCS,Use of telecommunications to transmit and read data from remote measurement instruments ,,
Temporary Demountable Structure,,2.0,DCMS,"Any structure erected on a temporary basis, including stands, standing terraces, hospitality areas and media installations",,
Temporary mortuary,,1.0,CCS,See emergency mortuary,,
Terrestrial Trunk Radio,TETRA,2.1,CCS,Terrestrial Trunked RAdio is the accepted digital radio standards for critical voice and narrowband data.  The UK’s Airwave radio system is based on the TETRA standards managed by the European Telecommunications Standards Institute (ETSI).  ,,
Territorial Departments,,1.0,CCS,"The Scottish Executive, Northern Ireland Office and National Assembly for Wales.",,
Thames Valley Police,TVP,2.1,MPS,,Note: included for the acronym,
Third sector,,1.0,CCS,See voluntary sector,,
Threat,,1.0,CCS,"Intent and capacity to cause loss of life or create adverse consequences to human welfare (including property and the supply of essential services and commodities), the environment or security.",,
Threat assessment  ,,2.0,CCS,A component of the civil protection risk assessment process in which identified threats are assessed for risk treatment ,,
Total Operations Processing System,TOPS,2.1,Network Rail,A computer management system which tracks the position and status of traction units and rolling stock,,
Transport Security and Contingencies,TRANSEC,2.1,DfT,Department for Transport's Transport Security and Contingencies Directorate,,
Transport for London,TfL,2.1,DfT,Organisation responsible for most transport in London.  It is accountable to the Mayor and responsible for delivering the Mayor's Transport Strategy.,,
Traffic cordon,,1.0,CCS,Supplementary cordon around the outer cordon to control internal traffic access for emergency and other vehicles,,
Train Operating Company,TOC,2.1,Network Rail,An organisation which operates passenger trains,,
Training Needs Analysis,TNA,2.1,CCS,,Note: included for acronym,
Triage,,1.0,DH,Assessment of casualties and allocation of priorities by the medical or ambulance staff at a casualty clearing station and/or a receiving hospital,,
Triage Sieve,,2.0,DH,Primary triage system that quickly sorts out casualties into priority groups,,
Triage Sort,,2.0,DH,Secondary triage system carried out on the arrival of further resources,Note: usually taking place in the Casualty Clearing Station,
Underground Hub,,2.0,CCS,See Hub,,
United Kingdom ,UK,2.1,CCS,,Note: included for acronym,
UK Recovery Handbook for Radiation Incidents,,2.0,NEPLG,"Three handbooks to assist in the management of contaminated food production systems (Green section), inhabited areas (purple section), and drinking water (blue section) following a radiological incident have been developed in conjunction with a wide range of stakeholders.  ",,
Unloading Point,,2.0,CCS,See Head,,
Upstream,,2.0,CCS,That portion of the river which is closer to the river's source than the reference point,,
Urban Search and Rescue,USaR,1.0,CCS,Search and rescue activity conducted by fire and rescue service in contrast to SAR or ASAR,,
Utilities,,2.0,CCS,"Companies providing essential services, often categorised as water, energy and telecommunications, although this can sometimes include other infrastructure sectors such as transport.",,
Validation,,2.0,CCS,"Measures to ensure that plans, procedures and other emergency response measures meet the purpose for which they were designed.",,
Vehicle Borne Improvised Explosive Device,VBIED,2.0,MOD,"An IED that is delivered in a vehicle.  This method may have been chosen for a combination of factors including the ability to deliver a greater mass, more quickly and with a lower chance of detection.  As well as the device itself, glass and metal of the vehicle will create shrapnel hazards. There is no lower limit to the weight of explosives needed for classification as a VBIED. contribution to United Kingdom civil protection ",Note: there is no lower limit to the weight of explosives needed for classification as a VBIED. ,
Verification,,2.0,CCS,"To review and evaluate documents, plans requirements and specifications. This can be done using a checklist, walkthrough or inspection. ",,
Version Control,,2.0,CCS,A standardised nomenclature for identifying the version of a specific document.,"Note: local practices may vary, but pre-release draft versions should be numbered 0.1, 0.2, etc. The first approved release should be 1.0 with revisions appearing as 1.1, 1.2, etc. Significant revisions should be numbered as 2.0, 3.0, etc.",
Very Important Person,VIP,2.1,CCS,,Note: included for acronym,
Very Seriously Injured,VSI,2.0,CCS,,Note: included for acronym,
Video Teleconference,VTC,2.1,MPS,,Note: included for acronym,
Voluntary,,1.0,CCS,"(of an agency or activity) non-governmental and not-for-profit, or charitable ",,
Voluntary Sector,,1.0,CCS,"All organisations, regarded as a group, involved in any aspects of the response to an emergency. Also known as third sector.",,
Voluntary Sector Civil Protection Forum,VSCPF,1.0,CCS,"Body hosted and facilitated by the Civil Contingencies Secretariat  and the British Red Cross, with the aim of identifying and maximising the voluntary sector contribution to UK civil protection arrangements. The forum contains representatives from the voluntary sector, central government, statutory authorities and professional associations.  ",,
Vulnerable People,,2.0,CCS,See Vulnerable Person,,
Vulnerable Person,,2.1,CCS,A person who is less able to help themself in the circumstances of an emergency,,
Vulnerability,,2.0,CCS,"Susceptibility of individuals or community, services or infrastructure to damage or harm arising from an emergency or other incident ",,
Vulnerable Establishment,,2.0,CCS,Institution housing vulnerable people during the day or at night  ,,
Wales Civil Contingencies Committee ,WCCC,1.0,WAG,"Multi-agency group, including representatives from the Welsh  Government, emergency services, local authorities, and others as applicable, convened as required to co-ordinate multiple strategic co-ordinating groups across Wales, in order to improve the co-ordination of the response to an emergency with a particular focus on consequence management and the recovery phase",,Wales
Wales Emergency Co-ordinator,WEC,1.0,WG,Central government appointee responsible for facilitating the co-ordination in Wales of activities under the emergency powers in line with the governmental response strategy and objectives. ,,Wales
Wales Resilience Forum,,2.0,WG,Multi-agency group providing the mechanism for national multi-agency cooperation and strategic advice on civil protection and emergency planning ,,Wales
Wales Warning and Informing Group,W W IG,2.1.1,WG,"Ad hoc group of senior media editors, government representatives, local authority emergency planners, emergency services, police and the private sector in Wales set up to consider the provision of information to the public, and other media issues, in the context of civil emergencies",,Wales
Walk through ,,2.0,CCS,"A structured event to inform participants of a new plan or procedure, allow consultation on the future development of a plan or introduce individuals and/or organisations to a new or proposed role within a plan.",Note: may also be known as a Talk through,
Warm Zone,,2.0,CCS,In this zone some cross contamination from the Hot Zone is to be expected. The level of PPE will need to be determined on the basis of dynamic risk assessment.,,
Warning and informing the public ,,2.0,CCS,"Arrangements to make the public aware of risks and for responders to warn, inform and advise the public when an emergency is likely to occur or has occurred, and to provide them with information and advice subsequently.",,
Well-being power ,,2.0,CCS,(Local authority guidance term for) Power held by a local authority under the Local Government Act 2000 which underpins mutual aid ,,
Welsh Government Civil Contingencies Group,,2.1.1,CCS,A Group dedicated to supporting multi-agency co-operation in Wales and engaging with the UK Government on all issues relating to civil protection and emergency preparedness.,,
Welsh Government Resiience Team,,2.1.1,WG,The Welsh Government Resilience Team fosters links with emergency planners in order to co-ordinate civil protection planning in Wales. It also maintains links with UK Government Departments and other devolved administrations to share best practice and undertake joint-working.,,Wales
Welsh Borders Resilience Group ,WBRG,2.0,WG,"The Welsh Borders Resilience Group brings together the Welsh Assembly Government and Regional Resilience Teams for the South West, West Midlands and North West to facilitate co-operation and information sharing between Wales and the border areas of England. ","Note: these arrangements may be subject to modification once new arrangements for the Regional Resilience Teams becomes clear, following the closure of the Government Offices.",
Welsh Government Liaison Officer,WGLO,2.1.1,WG,A government liaison officer from the Welsh Government,,Wales
Welsh Government Liaison Team ,WGLT,2.1.1,WG,A government liaison team from the Welsh Government,,Wales 
Women's Royal Voluntary Service,WRVS,2.0,CCS,"A major service provider giving practical help, particularly for older people, to enable choice, independence and dignity so people can enjoy an improved quality of life. It has 56,000 volunteers.",,
Z-Card,,2.0,CCS,"Patented format for publishing information, which enables a page of up to A3-size to be folded down to credit card size  ",,
,,,,,,
